Name,Specialities,Locations,Areas of Focus
N/A,,,
N/A,,,
"Augustine S. Lee, M.D.","Critical Care Specialist, Pulmonologist","Jacksonville, FL","Stop smoking services, Interstitial lung disease"
N/A,,,
N/A,,,
N/A,,,
"Christine U. Lee, M.D., Ph.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Gary M. Lee, M.D.",Internist,"Jacksonville, FL","Stop smoking services, Nicotine dependence, Drug addiction"
N/A,,,
N/A,,,
"Hon-Chi Lee, M.D., Ph.D.","Internist, Cardiologist, Cardiac Electrophysiologist","Rochester, MN","Heart arrhythmia, Diabetes, Atrial fibrillation, Heart disease"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Kendall H. Lee, M.D., Ph.D.",Neurosurgeon,"Rochester, MN","Brain tumor surgery, Epilepsy surgery, Intraoperative magnetic resonance imaging, Deep brain stimulation, Brain tumor, ...Movement disorder, Mental disorder, Epilepsy"
N/A,,,
N/A,,,
"Kwan S. Lee, M.B., B.Ch., M.D.",,"Phoenix, AZ",
N/A,,,
"Nam Ju Lee, M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Richard W. Lee, M.D.","Interventional Cardiologist, Internist, Cardiologist","Phoenix, AZ",
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Robert A. Lee, M.D.",Radiologist,"Rochester, MN","Ultrasound, Kidney biopsy"
N/A,,,
N/A,,,
"Sarah K. Lee, D.D.S.",Prosthodontist,"Rochester, MN","Dental implant surgery, Dental surgery, Fitting of prosthesis, Mouth care, Oral appliance therapy, Head and neck recons...truction, Facial reconstruction, Fibula free flap, Facial injury, Jaw cancer, Mouth cancer, Mouth injury, Head and neck cancer, Facial fracture, Oral and throat cancer, Radiation injury, Mouth tumor, Facial deformity, Cancer, Jaw tumors and cysts"
N/A,,,
N/A,,,
"Napat Leeaphorn, M.D.",Transplant Nephrologist,"Jacksonville, FL","Continuous renal replacement therapy, Pre-transplant evaluation, Kidney transplant, Dialysis, Hemodialysis, Pancreas tr...ansplant, Immunosuppressive drug therapy, Post-transplant long-term care, Kidney failure, Chronic kidney disease, Transplant rejection, Polycystic kidney disease, Acute kidney failure, End-stage renal disease, Diabetic nephropathy"
N/A,,,
N/A,,,
"James L. Leenstra, M.D.","Internist, Radiation Oncologist","Rochester, MN","Cancer treatment, Stereotactic body radiotherapy, Breast cancer, Prostate cancer, Lung cancer, Head and neck cancer"
N/A,,,
N/A,,,
N/A,,,
"Andrea N. Leep Hunderfund, M.D., M.H.P.E.",Neurologist,"Rochester, MN",Electromyography
N/A,,,
N/A,,,
"Cadman L. Leggett, M.D.","Internist, Gastroenterologist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Sean R. Legler, M.D.",Hospitalist,"Rochester, MN",
N/A,,,
N/A,,,
"Jordan (JD) D. LeGout, M.D.",Radiologist,"Jacksonville, FL",MRI
N/A,,,
N/A,,,
"Julia S. Lehman, M.D.","Dermatologist, Dermatopathologist","Rochester, MN","Skin rashes NOS, Skin infection, Skin cancer"
N/A,,,
N/A,,,
N/A,,,
"Vance T. Lehman, M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Bradley C. Leibovich, M.D.",Urologist,"Rochester, MN","Retroperitoneal lymph node dissection for testicular cancer, Partial nephrectomy, Laparoscopic kidney surgery, Nephrect...omy, Testicular cancer, Kidney tumor, Kidney cancer"
N/A,,,
N/A,,,
"Brianna C. Leigh, M.D.",Neonatologist,"Rochester, MN","Special care of premature baby, Chronic lung disease, Necrotizing enterocolitis, Premature birth"
N/A,,,
N/A,,,
"Jonathan A. Leighton, M.D.","Internist, Gastroenterologist","Phoenix, AZ","Capsule endoscopy, Colon cancer, Inflammatory bowel disease"
N/A,,,
N/A,,,
N/A,,,
"Tim Leiner, M.D., Ph.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Jose F. Leis, M.D., Ph.D.","Internist, Hematologist","Phoenix, AZ","Autologous stem cell transplant, Allogeneic stem cell transplant, Chronic lymphocytic leukemia"
N/A,,,
N/A,,,
N/A,,,
"Michael D. Leise, M.D.",Transplant Hepatologist,"Rochester, MN","Upper endoscopy, Colonoscopy, Hemochromatosis, Esophageal varices, Hepatitis C, Portal hypertension, Hepatocellular car...cinoma, Hereditary hemorrhagic telangiectasia, Cholangiocarcinoma, Primary sclerosing cholangitis, Wilson's disease, Hepatopulmonary syndrome, Alcoholic hepatitis, Autoimmune hepatitis, Hepatic encephalopathy, Liver problems, Hepatitis B, Nonalcoholic fatty liver disease"
N/A,,,
N/A,,,
"Alexander Lekah, M.D.",Radiologist,"Rochester, MN",Kidney biopsy
N/A,,,
N/A,,,
"Lisa M. LeMond, M.D.","Echocardiographer, Internist, Cardiologist","Phoenix, AZ",
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Shuai Leng, Ph.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Vanda A. Lennon, M.D., Ph.D.",,"Rochester, MN",Paraneoplastic syndromes of the nervous system
N/A,,,
"Roberto A. Leon Ferre, M.D.",Oncologist,"Rochester, MN",Breast cancer
N/A,,,
N/A,,,
"Bruce J. Leone, M.D.",Anesthesiologist,"Jacksonville, FL",
N/A,,,
N/A,,,
"Juan Carlos Leoni Moreno, M.D.",Transplant Cardiologist,"Jacksonville, FL","Mechanical circulatory support device implantation, Pre-transplant evaluation, Left ventricular assist device implantat...ion, Heart transplant, Post-transplant long-term care, Heart failure, Cardiogenic shock, Cardiomyopathy, Amyloidosis, Myocarditis, Heart transplant complication, Sarcoidosis, Congenital heart defects in adults"
N/A,,,
N/A,,,
"Amir Lerman, M.D.","Internist, Cardiologist","Rochester, MN",Optical coherence tomography
N/A,,,
N/A,,,
N/A,,,
"Lilach O. Lerman, M.D., Ph.D.",,"Rochester, MN","High blood pressure, Heart disease"
N/A,,,
"Kevin O. Leslie, M.D.",,"Phoenix, AZ",
N/A,,,
"Sara P. Lester, M.D.",Internist,"Rochester, MN",
N/A,,,
N/A,,,
"Scott C. Lester, M.D.",Radiation Oncologist,"Rochester, MN","External beam radiation therapy, Brachytherapy, Radiation therapy, Total body irradiation, Proton therapy, Lymphoma, Pl...asma cell disorders, Cutaneous t-cell lymphoma, Adenoid cystic carcinoma, Leukemia, Head and neck cancer, Skull base tumor, Skin cancer"
N/A,,,
N/A,,,
"Steven J. Lester, M.D.","Echocardiographer, Internist, Cardiologist","Phoenix, AZ, Rochester, MN","Cardiovascular disease prevention, Brachytherapy, Coronary artery disease, Heart valve disease, Hypertrophic cardiomyop...athy"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Haley P. Letter, M.D.",Radiologist,"Jacksonville, FL","Ultrasound-guided biopsy, Stereotactic breast biopsy, MRI-guided breast biopsy, Breast imaging"
N/A,,,
N/A,,,
"Salvatore C. Lettieri, M.D.",Plastic Surgeon,"Phoenix, AZ",
N/A,,,
N/A,,,
"Nelson Leung, M.D.",Nephrologist,"Rochester, MN","Chronic kidney disease, Acute kidney failure, Amyloidosis, Kidney failure, IgA nephropathy, Monoclonal gammopathy of un...determined significance"
N/A,,,
N/A,,,
"Konstantinos Leventakos, M.D., Ph.D.",Oncologist,"Rochester, MN","Thymic tumor, Lung cancer, Non-small cell lung cancer, Small cell lung cancer, Mesothelioma, Neuroendocrine tumor, Carc...inoid tumor"
N/A,,,
N/A,,,
"Jack P. Leventhal, M.B.B.S., M.D.",,"Jacksonville, FL",
N/A,,,
"David L. Levin, M.D., Ph.D.",Radiologist,"Rochester, MN","Lung scan, Imaging procedure"
N/A,,,
N/A,,,
"Emily R. Levy, M.D.","Pediatric Infectious Disease Specialist, Pediatric Critical Care Specialist","Rochester, MN","Chest tube placement, Lumbar puncture, Extracorporeal membrane oxygenation, Central venous catheterization, Arterial li...ne placement, Respiratory failure, Cardiogenic shock, Bloodstream infection, Fungal infection, Cardiovascular device-associated infection, Meningitis, Sepsis, Pneumonia"
N/A,,,
N/A,,,
N/A,,,
"Andrew R. Lewis, M.D.",,"Jacksonville, FL",
N/A,,,
"Jason T. Lewis, M.D.",Pathologist,"Jacksonville, FL","Liver problems, Primary sclerosing cholangitis, Barrett's esophagus"
N/A,,,
N/A,,,
"John C. Lewis, M.D.","Internist, Allergist-Immunologist","Phoenix, AZ","Rhinitis, Asthma attack, Eosinophilia"
N/A,,,
N/A,,,
N/A,,,
"Michele D. Lewis, M.D.",Gastroenterologist,"Jacksonville, FL","Endoscopic biopsy, Variceal band ligation, Upper endoscopy, PEG-J tube placement, Colonoscopy, Flexible sigmoidoscopy, ...Pancreatic disorder, Pancreatitis, Pancreatic insufficiency, Genetic disorder, Cystic fibrosis, Pancreatic cyst"
N/A,,,
N/A,,,
"James T. Li, M.D., Ph.D.","Internist, Allergist-Immunologist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Ke (David) Li, M.D.",,"Jacksonville, FL",
N/A,,,
"Xiaoying Liang, Ph.D.",Radiation Oncology Medical Physicist,"Jacksonville, FL",
N/A,,,
N/A,,,
"Sharon E. Libi, M.D.",Otolaryngologist,"Rochester, MN",
N/A,,,
N/A,,,
"Lauren K. Licatino, M.D.",,"Rochester, MN",
N/A,,,
"Greta B. Liebo, M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Mark F. Liebow, M.D., M.P.H.","Internist, Hospitalist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"John C. Lieske, M.D.","Nephrologist, Internist","Rochester, MN","End-stage renal disease, Kidney stone, Chronic kidney disease, Hyperoxaluria"
N/A,,,
N/A,,,
N/A,,,
"Teerin Liewluck, M.D.",Neurologist,"Rochester, MN","Nemaline myopathy, Inclusion body myositis, Myositis, Muscular dystrophy, Minicore myopathy, Polymyositis, Congenital m...yopathy, Congenital myasthenic syndrome, Myasthenia gravis, Dermatomyositis, Central core disease, Inflammatory myopathy, Myotonic dystrophy, Amyloidosis, Myoglobinuria with muscle disease"
N/A,,,
N/A,,,
"Lynne Lillie, M.D.",Family Physician,"Rochester, MN",
N/A,,,
N/A,,,
"Kaiser G. Lim, M.D.","Critical Care Specialist, Internist, Pulmonologist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Andrew H. Limper, M.D.","Internist, Pulmonologist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Chen Lin, Ph.D.",Medical Physicist,"Jacksonville, FL",MRI
N/A,,,
N/A,,,
"Grace Lin, M.D., M.B.A.","Echocardiographer, Cardiologist","Rochester, MN","Echocardiogram, Heart failure"
N/A,,,
N/A,,,
N/A,,,
"Michelle P. Lin, M.D., M.P.H.",Neurologist,"Jacksonville, FL","Image-guided diagnostic procedure, Telestroke, Stroke prevention, Transcranial Doppler test, Angiogram, Thrombophilia, ...Intracranial hemorrhage, Moyamoya disease, Atrial fibrillation, Stroke, Small vessel white matter disease, Cerebrovascular disease, Carotid artery disease, Vascular dementia, Heart failure"
N/A,,,
N/A,,,
"Peter T. Lin, M.D.",Forensic Pathologist,"Rochester, MN",
N/A,,,
N/A,,,
"Yi Lin, M.D., Ph.D.","Hematologist, Oncologist","Rochester, MN","Immunotherapy, Lymphoma, Multiple myeloma, Amyloidosis"
N/A,,,
N/A,,,
N/A,,,
"Devin L. Lincenberg, Psy.D.",Psychologist,"Phoenix, AZ",
N/A,,,
N/A,,,
"E. Paul (Paul) Lindell, M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Rebecca M. Lindell, M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Brian J. Linder, M.D.","Urogynecologist, Urologist","Rochester, MN","Hysterectomy, Robotic surgery, Botox injection, Urinary sling procedure, Urethral bulking, Sacral nerve stimulation, Pe...lvic floor reconstruction, Vaginal hysterectomy, Urinary incontinence, Pelvic organ prolapse, Overactive bladder, Enterocele, Stress incontinence, Anterior prolapse, Uterine prolapse, Urethral diverticulum"
N/A,,,
N/A,,,
N/A,,,
"Rachel A. Lindor, M.D., J.D.",,"Phoenix, AZ",
N/A,,,
"Jenny L. Link, M.D.",Dermatologist,"Rochester, MN","Laser hair removal, Bullous pemphigoid, Mycosis fungoides, Pemphigus, Lupus, Dermatomyositis, Dermatitis herpetiformis,... Cutaneous lupus, Scleroderma, Psoriasis, Dermatitis, Cutaneous b-cell lymphoma, Mucous membrane disorder"
N/A,,,
N/A,,,
"Michael J. Link, M.D.",Neurosurgeon,"Rochester, MN","Brain tumor surgery, Brain stereotactic radiosurgery, Hemifacial spasm surgery, Acoustic neuroma surgery, Trigeminal ne...uralgia surgery, Trigeminal neuralgia, Cerebrovascular disease, Hemifacial spasm, Acoustic neuroma, Brain tumor"
N/A,,,
N/A,,,
"Melissa C. Lipford, M.D.",Neurologist,"Rochester, MN","Insomnia, Sleep apnea, Sleep disorders, REM sleep behavior disorder"
N/A,,,
N/A,,,
"Gretchen K. Lipke, M.D.",,"Jacksonville, FL",
N/A,,,
"Scott C. Litin, M.D.",Internist,"Rochester, MN","Anticoagulant therapy, Venous thrombosis"
N/A,,,
N/A,,,
"Brent P. Little, M.D.",Radiologist,"Jacksonville, FL",
N/A,,,
N/A,,,
"Laurel A. Littrell, M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Mark R. Litzow, M.D.","Hematologist, Palliative Care Specialist, Oncologist","Rochester, MN","Bone marrow transplant, Myeloproliferative disorders, Myelodysplastic syndromes, Chronic myelogenous leukemia, Acute le...ukemia"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Wei Liu, Ph.D.",Radiation Oncology Medical Physicist,"Phoenix, AZ","IGRT, Proton therapy, Lung cancer, Brain cancer, Head and neck cancer"
N/A,,,
N/A,,,
"Blanca C. Lizaola-Mayo, M.D.",Transplant Hepatologist,"Phoenix, AZ","Balloon assisted endoscopy, Variceal band ligation, Colonoscopy, Upper endoscopy, Hepatocellular carcinoma, Hepatitis B..., Hepatitis C, Autoimmune hepatitis, Fatty liver disease"
N/A,,,
N/A,,,
"Farrell J. Lloyd, M.D.","Internist, Hospitalist, Clinical Informaticist","Rochester, MN",Preventive care
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Robin M. Lloyd, M.D.","Pediatric Sleep Medicine Specialist, Pediatrician","Rochester, MN","Overnight oximetry test, Cognitive behavioral therapy, Actigraphy, Polysomnography, Non-invasive ventilation, Maintenan...ce of wakefulness test, Multiple sleep latency test, PAP therapy, Bruxism, Central sleep apnea, Periodic limb movement disorder, Advanced sleep phase syndrome, REM sleep behavior disorder, Night terrors, Jet lag, Restless legs syndrome, Sleep-related breathing disorder, Idiopathic hypersomnia, Nightmare disorder, Sleep arousal disorder, Parasomnia, Non-24, Pediatric obstructive sleep apnea, Sleep starts, Narcolepsy, Sleep talking, Sleep disorders, Complex sleep apnea, Insomnia, Snoring, Pickwickian syndrome, Nocturnal epilepsy, Sleepwalking, Delayed sleep phase, Obstructive sleep apnea, Night leg cramps"
N/A,,,
N/A,,,
N/A,,,
"Angie S. Lobo Romero, M.D.",Internist,"Rochester, MN",
N/A,,,
N/A,,,
"Dona E. Locke, Ph.D.",Psychologist,"Phoenix, AZ","Neuropsychological assessment, Cancer, Dementia, Brain tumor, Epilepsy"
N/A,,,
N/A,,,
"Conor G. Loftus, M.D.","Family Physician, Gastroenterologist","Rochester, MN",Mesenteric ischemia
N/A,,,
N/A,,,
N/A,,,
"Edward V. Loftus, Jr., M.D.",Gastroenterologist,"Rochester, MN","Crohn's disease, Ulcerative colitis, Inflammatory bowel disease"
N/A,,,
N/A,,,
"Derek J. Lomas, M.D.",Urologist,"Rochester, MN","Transurethral incision of the prostate, Steam therapy, Ureteroscopy, Irreversible electroporation, Ureteral stenting, B...ladder biopsy, Transperineal prostate biopsy, Laser PVP, Ureteral stent exchange, Orchiectomy, Prostate ultrasound, Transurethral resection of the prostate, Bladder stones, Kidney stone, Prostate cancer, Benign prostatic hyperplasia, Bladder outlet obstruction, Bladder cancer"
N/A,,,
N/A,,,
"Jeremiah R. Long, M.D.",,"Phoenix, AZ","Arthrocentesis, Arthrogram, Bone biopsy, Fracture risk assessment, Ultrasound, Joint injection, Muscle biopsy, Bone den...sity test, Image-guided diagnostic procedure, Subcutaneous injection, Intramuscular injection, CT-guided biopsy, Bone marrow biopsy and aspiration, MRI, Needle biopsy, MRI arthrogram, CT scan, X-ray, Osteitis pubis, Bone tumor, Knee fracture, Synovitis, Distal radius fracture, Ankle instability, Hip instability, Acetabular fracture, Strain, Rheumatoid arthritis, Pseudogout, Broken elbow, Broken hand, Chronic pain, Shoulder instability, Gout, Patellofemoral pain syndrome, Patellofemoral instability, Foot instability, Leg pain, Sprain, Tenosynovitis, Broken arm, Elbow instability, Joint infection, Wrist pain, Myositis, Tibial plateau fracture, Inflammatory arthritis, Wrist instability, Hip fracture, Toe instability, Stress fracture, Patellar fracture, Fracture, Greenstick fractures, Sacroiliac joint dysfunction, Broken ankle, Avascular necrosis, Broken toe, Broken wrist, Finger instability, Joint instability, Broken collarbone, Osteomyelitis, Growth plate fracture, Osteopenia, Tibial pilon fracture, Scaphoid fracture, Avulsion fracture, Broken rib, Pelvis fracture, Tumors and masses, Osteoarthritis, Osteoporosis, Lisfranc injury, Pathologic fracture, Arthropathy, Knee pain, Broken leg, Broken foot"
N/A,,,
"Margaret E. Long, M.D.",Gynecologist,"Rochester, MN","Intrauterine device method, Vaginal biopsy, Polypectomy, Vulvar biopsy, Loop electrosurgical excision procedure, Contra...ceptive implant method, Colposcopy, Cervical biopsy, Female hormone replacement therapy, Pelvic exam, Birth control pill method, Pap smear, Menopause, Vulvodynia, Polycystic ovary syndrome, Heavy menstrual bleeding, Adenomyosis, Vaginitis, Miscarriage, Chronic pelvic pain, Vaginal bleeding, Bacterial vaginosis, Vaginal atrophy, Ovarian cyst, Endometriosis, Uterine fibroid, Sexually transmitted disease, Perimenopause, Postmenopausal bleeding, Lower genital tract dysplasia, Lichen sclerosus, Vaginal yeast infection, Adnexal tumors, Cervical dysplasia, Painful intercourse, Vulvar dysplasia, Primary ovarian insufficiency, HPV infection, Menstrual cramps"
N/A,,,
N/A,,,
"Timothy R. Long, M.D.",Anesthesiologist,"Rochester, MN",Trauma care
N/A,,,
N/A,,,
"Zaiyang Long, Ph.D.",,"Rochester, MN",
N/A,,,
"Nicole M. Loo, M.D.","Transplant Hepatologist, Internist","Jacksonville, FL","Post-transplant long-term care, Pre-transplant evaluation, Liver transplant, Hepatitis C, Hepatocellular carcinoma, Pri...mary biliary cholangitis, Hepatopulmonary syndrome, Liver cancer, Fatty liver disease, Cholangiocarcinoma, Liver mass, Nonalcoholic fatty liver disease, Alcoholic hepatitis, Primary sclerosing cholangitis, Acute liver failure, Autoimmune hepatitis, Cirrhosis, Hepatitis B, Liver problems"
N/A,,,
N/A,,,
N/A,,,
"Donald P. Lookingbill, M.D.",Dermatologist,"Jacksonville, FL",
N/A,,,
N/A,,,
"Erica A. Loomis, M.D.","Acute Care Surgeon, Surgeon, General Surgeon","Rochester, MN","Trauma care, Intensive care, Traumatic injury"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Alfonso (Sebastian) S. Lopez Chiriboga, M.D.",Neurologist,"Jacksonville, FL","Neurosarcoidosis, Autoimmune encephalopathy, Autoimmune epilepsy, Multiple sclerosis, Transverse myelitis, Demyelinatin...g disease, Paraneoplastic syndromes of the nervous system, Neuromyelitis optica"
N/A,,,
N/A,,,
"Francisco Lopez-Jimenez, M.D., M.S.","Echocardiographer, Internist, Cardiologist","Rochester, MN","Cardiovascular disease prevention, Echocardiogram, Heart disease, Obesity"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Caitlin E. Loprinzi Brauer, M.D.",Emergency Medicine Physician,"Rochester, MN","Preventive care, Palliative care"
N/A,,,
N/A,,,
"Charles L. Loprinzi, M.D.",Oncologist,"Rochester, MN",Breast cancer
N/A,,,
N/A,,,
"Roxanne Lorans, M.D.",Radiologist,"Phoenix, AZ",Breast imaging
N/A,,,
N/A,,,
"Amanda K. Lorenz, M.D.","Internist, Palliative Care Specialist","Rochester, MN",Palliative care
N/A,,,
N/A,,,
N/A,,,
"Elizabeth C. Lorenz, M.D.","Nephrologist, Internist","Rochester, MN","Pancreas transplant, Kidney transplant, End-stage renal disease, Chronic kidney disease"
N/A,,,
N/A,,,
N/A,,,
"David G. Lott, M.D.",,"Phoenix, AZ","Singing voice evaluation, Botox injection, Transnasal esophagoscopy, Professional voice evaluation, Esophagoscopy, Zenk...er's diverticulectomy, Larynx and trachea transplant, Minimally invasive surgery, Tracheal resection, Esophageal dilatation, Tracheostomy, Cricopharyngeal myotomy, Tracheal stenting, Vocal cord injection, Laser vocal cord surgery, Airway stenting, Microlaryngoscopy, Laryngotracheal reconstruction, Thyroplasty, Transoral laser microsurgery, Airway management, KTP laser treatment, Laryngeal Botox injection, Videolaryngoscopy, Laryngectomy, Laryngoscopy, Bronchoscopy, Airway reconstruction, CO-2 laser treatment, Zenker's diverticulotomy, Laryngeal reinnervation surgery, Bronchoalveolar lavage, FEESST, Laryngeal cancer, Tracheal stenosis, Dysphagia, Throat cancer, Voice disorder"
N/A,,,
"Yanyan Lou, M.D., Ph.D.","Internist, Oncologist","Jacksonville, FL","Targeted drug therapy, Immunotherapy, Lung cancer, Mesothelioma"
N/A,,,
N/A,,,
N/A,,,
"Zhenkun Lou, Ph.D.",,"Rochester, MN",Radiation therapy
N/A,,,
"Michelle Y. Louie, M.D.",Gynecologist,"Phoenix, AZ","Hysteroscopy, Hysterectomy, Laparoscopic surgery, Myomectomy, Oophorectomy, Ovarian cyst, Heavy menstrual bleeding, Men...strual cramps, Leiomyoma, Endometriosis, Uterine fibroid, Menstrual cycle conditions, Uterine anomaly, Uterine polyps"
N/A,,,
N/A,,,
"Larissa L. Loukianova, M.D., Ph.D.",Psychiatrist,"Rochester, MN","Drug addiction, Alcohol use disorder"
N/A,,,
N/A,,,
"Phillip A. Low, M.D.",Neurologist,"Rochester, MN","Multiple system atrophy, Autonomic neuropathy, Orthostatic intolerance, POTS, Dysautonomia, Diabetic neuropathy"
N/A,,,
N/A,,,
"Rhonda S. Low, M.D.",Family Physician,"Phoenix, AZ",
N/A,,,
N/A,,,
"Val Lowe, M.D.",Nuclear Medicine Specialist,"Rochester, MN","PET/MRI scan, Positron emission tomography scan"
N/A,,,
N/A,,,
"Aida N. Lteif, M.D.","Pediatric Endocrinologist, Pediatrician","Rochester, MN",Congenital adrenal hyperplasia
N/A,,,
N/A,,,
N/A,,,
"Aiming Lu, Ph.D.",,"Rochester, MN","PET/MRI scan, MRI cardiac stress test, MRI"
N/A,,,
"Qun Lu, M.D.",Pathologist,"Phoenix, AZ","Extracorporeal photopheresis, Peripheral blood stem cell collection, Plasma exchange, Blood transfusion"
N/A,,,
N/A,,,
"John A. Lucas, Ph.D., ABPP-CN, ABPP",Psychologist,"Jacksonville, FL","Neuropsychological assessment, Memory loss, Dementia, Alzheimer's disease, Movement disorder"
N/A,,,
N/A,,,
"Joseph (John) J. Lucido, III, Ph.D.",Medical Physicist,"Rochester, MN",
N/A,,,
N/A,,,
"Marianne T. Luetmer, M.D.","Physiatrist, Electrodiagnostic Physician, Sports Medicine Specialist","Rochester, MN","Viscosupplementation, Nerve hydrodissection, Intramuscular injection, Nerve block, Physical examination, Ultrasound-gui...ded fine needle aspiration, Trigger point injection, Ultrasound-guided musculoskeletal injection, Musculoskeletal exam, Arthritis rehabilitation, Ultrasound-guided injection, Soft tissue injection, Percutaneous tenotomy, Back pain therapy, Injection, Platelet rich plasma injection, Joint injection, Regenerative medicine therapy, Outpatient clinical consultation, Ultrasound, Joint examination, Ultrasound-guided aspiration and lavage for calcific tendinitis , Ultrasound-guided cortisone injection, Sport specific rehabilitation, Back pain management, Shoulder arthritis, Rotator cuff injury, Hip tendon tear, Inflammatory myopathy, Spinal pain, Hand arthritis, Cervical spinal stenosis, Radial neuropathy, Shoulder instability, Shoulder disorder, Neuromuscular disorder, Myelopathy, Median neuropathy, Lumbar spinal stenosis, Biceps tendinitis, Carpal tunnel syndrome, Wrist pain, Calcific tendinitis, Osteoarthritis, Tendinopathy, Lumbar spondylosis, Torn meniscus, Guillain Barre syndrome, Neck pain, Plantar fasciitis, Spondylolysis, Sacroiliac joint dysfunction, Separated shoulder, Sprained ankle, Rotator cuff tear arthropathy, Cervical herniated disk, Muscle spasms, Foot drop, Patellar tendinitis, Peripheral nerve injury, Foot injury, de Quervain's tenosynovitis, Hip impingement, Leg pain, Ruptured disk, Hip dysplasia, Hamstring injury, Knee pain, Arthritis, Frozen shoulder, Shoulder subluxation, Cartilage injury, Ulnar wrist pain, Osteoporosis, Patellar tendon tear, Leg length discrepancy, Neurologic muscle weakness, Lumbar pain, Tendinitis, Sacroiliitis, Sports hernia, Ulnar nerve entrapment, Inflammatory arthritis, Discogenic back pain, Knee loose body, Knee arthritis, Hip tendinitis, Sciatic neuropathy, Arthropathy, Shoulder impingement syndrome, Hand injury, Rotator cuff tear, Elbow instability, Cervical myelopathy, Lateral collateral ligament sprain, Piriformis syndrome, Neurogenic claudication , Knee disorder, Muscle weakness, Cervical radiculopathy, Baker's cyst, Thoracic radiculopathy, Rotator cuff tendinitis, Radiculopathy, Swollen knee, Posterior cruciate ligament injury, Back pain, Gait unsteadiness, Ulnar neuropathy, Osteopenia, Metatarsalgia, Muscle cramp, ACL injury, Brachial plexus injury, Medial collateral ligament sprain, Cervical spondylotic myelopathy, Sarcopenia, Functional limitation, Neuropathy, Tenosynovitis, Turf toe, Muscle atrophy, Strain, Tendinosis, Basal joint arthritis, Hip labral tear, Kneecap subluxation, Metatarsophalangeal joint sprain, Hyperextended knee, Tennis elbow, Cervical spondylosis, Thoracic outlet syndrome, Herniated disk, Golf injury, Spondylolisthesis, Myopathy, Axial spondyloarthritis, Knee bursitis, Lumbar herniated disk, Balance problem, Bursitis, Golfer's elbow, Thumb arthritis, Patellofemoral instability, Joint instability, Achilles tendinitis, Tendon pain, Nerve compression syndrome, Compartment syndrome, Elbow impingement, Spinal compression fracture, Posterior tibial tendon dysfunction, Flatfeet, Neuropathic pain syndrome, Hip arthritis, Sprain, Lumbar radiculopathy, Osteochondroma, Stenosis, Nerve entrapment"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Patrick H. Luetmer, M.D.",Radiologist,"Rochester, MN","Vertebroplasty, CSF leak"
N/A,,,
N/A,,,
"S. Allen Luis, M.B.B.S., Ph.D.",Cardiologist,"Rochester, MN","Carcinoid heart disease, Tricuspid valve regurgitation, Aortic valve regurgitation, Aortic valve stenosis, Tricuspid va...lve disease, Mitral valve stenosis, Constrictive pericarditis, Heart valve disease, Mitral valve regurgitation, Acute pericarditis"
N/A,,,
N/A,,,
"Anuradha Luke, M.D.",Emergency Medicine Physician,"Rochester, MN",Emergency care
N/A,,,
N/A,,,
"Frank J. Lukens, M.D.",Gastroenterologist,"Jacksonville, FL","Single balloon enteroscopy, Capsule endoscopy, Colonoscopy, ERCP, Double balloon enteroscopy, Upper endoscopy, Pancreat...itis, Pancreatic cancer, Obscure gastrointestinal bleeding, Small bowel AVM, Small bowel angiodysplasia, Gastrointestinal varices, Gastrointestinal bleeding, Pancreatic insufficiency, Pancreatic cyst, Pancreatic disorder, Gastroesophageal reflux disease, Colon polyps, Gallstones, Chronic gastrointestinal bleeding, Small bowel stricture"
N/A,,,
N/A,,,
"Brian N. Lundstrom, M.D., Ph.D.",Neurologist,"Rochester, MN","Seizure , Epilepsy"
N/A,,,
N/A,,,
"Carl Lundstrom, M.D.",Internist,"Rochester, MN",
N/A,,,
N/A,,,
"Brendan W. Lunn, M.D.","Radiologist, Nuclear Medicine Specialist","Rochester, MN",Radiopharmaceutical therapy
N/A,,,
N/A,,,
